ID,Instances of works,Abstract Title,Instance Title,Generic Descriptor,Number of parts,Voice in the Polyphony,Primary Language,Secondary Language,Style of discourse,Number of stanzas,Number of envois,Date,Authors,Author commentary,L Index,MW Index,RS Index,T Index (Motets),T Index (Songs),Lu Index,M Index,vdB Index (Rondeaux),Host work ID,Host Work Instance,Host Work Location,Other data,Edition,Manuscript Collocation
C 1,1,La sagete blonete m'a,Lai saigette blondette m'ait,Ballette à refrain,1,,Langue d'oïl,,Vers,5,,,Anonyme,,265-984,"228, 2",1,,,,,,,,,,,"GB-Ob Douce 308, fol. 222 (f) va"
C 11,1,"Agniaus dous, agniaus gentis, agniaus sans tache",Agniaus dous agnias gentis agniaus sans tache,Chanson à refrain,1,,Langue d'oïl,,Vers,5,,,Anonyme,,265-12,"149, 1",11,,8,,,,N 52,1,"I, 29",,,"F-Pn fr. 12483, fol. 25 va"
C 12,1,De sainte Leocade,A sainte leochade,Chanson à refrain,1,,Langue d'oïl,,Vers,7,,,Gautier de Coinci,,72-3,"1275, 1",12,,47,,,,N 39,1,"III, 258",St. I-VII,,"F-BL 34, fol. 123 vb"
C 12,2,De sainte Leocade,De sainte leochade,Chanson à refrain,2,,Langue d'oïl,,Vers,7,,,Gautier de Coinci,,72-3,"1275, 1",12,,47,,,,N 39,2,"III, 258",St. I-VII,,"B-Br 10747, fol. 103 vb"
C 12,3,De sainte Leocade,A sainte leochade,Chanson à refrain,1,,Langue d'oïl,,Vers,7,,,Gautier de Coinci,,72-3,"1275, 1",12,,47,,,,N 39,4,"III, 258",St. I-VII,,"F-Pa 3517, fol. 100 vb"
C 12,4,De sainte Leocade,De la sainte leocade,Chanson à refrain,2,,Langue d'oïl,,Vers,7,,,Gautier de Coinci,,72-3,"1275, 1",12,,47,,,,N 39,11,"III, 258",St. I-VII,,"F-Pn fr. 25532, fol. 104 ra"
C 12,5,De sainte Leocade,De sainte leochade,Chanson à refrain,1,,Langue d'oïl,,Vers,7,,,Gautier de Coinci,,72-3,"1275, 1",12,,47,,,,N 39,16,"III, 258",St. I (lacunaire),,"F-Pn fr. 22928, fol. 159 vb"
C 12,6,De sainte Leocade,De sainte leocade,Chanson à refrain,1,,Langue d'oïl,,Vers,7,,,Gautier de Coinci,,72-3,"1275, 1",12,,47,,,,N 39,17,"III, 258",St. I-VII,,"I-Rvat Pal. lat. 1969, fol. 99 rb"
C 12,7,De sainte Leocade,De sainte leocade,Chanson à refrain,1,,Langue d'oïl,,Vers,7,,,Gautier de Coinci,,72-3,"1275, 1",12,,47,,,,N 39,18,"III, 258",St. I-VII,,"RUS-SPsc fr. f° v. XIV. 9, fol. 137 vb"
C 12,8,De sainte Leocade,De la sainte leochade,Chanson à refrain,1,,Langue d'oïl,,Vers,7,,,Gautier de Coinci,,72-3,"1275, 1",12,,47,,,,N 39,19,"III, 258",St. I-VII,,"F-Pn nouv. acq. fr. 24541, fol. 111 vb"
C 12,9,De sainte Leocade,De sainte leochade,Chanson à refrain,1,,Langue d'oïl,,Vers,7,,,Gautier de Coinci,,72-3,"1275, 1",12,,47,,,,N 39,20,"III, 258",St. I-VII,,"F-B 551, fol. 87 vb"
