Ref Number,Instance Number,Linker Number,Abstract Master Text,Occurance Number,Parent Work (ID),Parent Work (Instance),Parent Work (Location),Refrain Location,Host Work,Singer,Destinataire,Circonstances,Fonction,Preceding,Succeeding,Manuscript Number,Image File,Manuscript Collocation,Derived Reading Text,Derived Reading Text (Refrain 1 [sur l'incipit français]),Derived Reading Text (Refrain 1),Derived Reading Text (Refrain 2),Derived Reading Text (Refrain 3),Derived Reading Text (Refrain 4),Derived Reading Text (Refrain 5),Derived Reading Text (Refrain 6),Derived Reading Text (Refrain triplum),Derived Reading Text (Refrain duplum),Derived Reading Text (Refrain teneur),Derived Reading Text (Initial),Derived Reading Text (Final),Derived Reading Text (st. 1; refrain enté),Derived Reading Text (st. 1; refrain initial),Derived Reading Text (st. 1; refrain interne),Derived Reading Text (st. 1 ; refrain interne 2),Derived Reading Text (st. 1 ; refrain final),Derived Reading Text (st. 2 ; refrain enté),Derived Reading Text (st. 2 ; refrain initial),Derived Reading Text (st. 2 ; refrain interne),Derived Reading Text (st. 2 ; refrain interne 2),Derived Reading Text (st. 2 ; refrain final),Derived Reading Text (st. 3 ; refrain initial),Derived Reading Text (st. 3 ; refrain interne),Derived Reading Text (st. 3 ; refrain interne 2),Derived Reading Text (st. 3 ; refrain final),Derived Reading Text (st. 4 ; refrain initial),Derived Reading Text (st. 4 ; refrain interne),Derived Reading Text (st. 4 ; refrain interne 2),Derived Reading Text (st. 4 ; refrain final),Derived Reading Text (st. 5 ; refrain initial),Derived Reading Text (st. 5 ; refrain interne),Derived Reading Text (st. 5 ; refrain interne 2),Derived Reading Text (st. 5 ; refrain final),Derived Reading Text (st. 6 ; refrain initial),Derived Reading Text (st. 6 ; refrain interne),Derived Reading Text (st. 6 ; refrain interne 2),Derived Reading Text (st. 6 ; refrain final),Derived Reading Text (st. 7 ; refrain initial),Derived Reading Text (st. 7 ; refrain interne),Derived Reading Text (st. 7 ; refrain interne 2),Derived Reading Text (st. 7 ; refrain final),Derived Reading Text (st. 8 ; refrain initial),Derived Reading Text (st. 8 ; refrain interne),Derived Reading Text (st. 8 ; refrain interne 2),Derived Reading Text (st. 8 ; refrain final),Derived Reading Text (st. 9 ; refrain initial),Derived Reading Text (st. 9 ; refrain interne),Derived Reading Text (st. 9 ; refrain interne 2),Derived Reading Text (st. 9 ; refrain final),Derived Reading Text (st. 10 ; refrain initial),Derived Reading Text (st. 10 ; refrain final),Derived Reading Text (st. 11 ; refrain final),Derived Reading Text (st. 12 ; refrain final),Derived Reading Text (st. 13 ; refrain final),Derived Reading Text (st. 14 ; refrain final),Derived Reading Text (st. 15 ; refrain final),Derived Reading Text (st. 16 ; refrain final),Derived Reading Text (st. 17 ; refrain final),Derived Reading Text (st. 18 ; refrain final),Derived Reading Text (st. 19 ; refrain final),Derived Reading Text (st. 20 ; refrain final),Derived Reading Text (st. 21 ; refrain final),Derived Reading Text (st. 22 ; refrain final),Derived Reading Text (st. 23 ; refrain final),Derived Reading Text (st. 24 ; refrain final),Derived Reading Text (st. 25 ; refrain final),Derived Reading Text (envoi I ; refrain interne),Derived Reading Text (envoi I ; refrain final),Derived Reading Text (envoi II ; refrain initial),Derived Reading Text (envoi II ; refrain final),Métrique,Musical structure,Other Refrain data,Other Manuscript Data,Derived Reading Text (Refrain 1 ; Fatras),Derived Reading Text (Refrain 2 ; Fatras)
1,1,,A bonne amour sui donnee mon vivant pour miex valoir.,1,N 27,1,v. 40,,,Watriquet,Raimondin,,,,,1,,"F-Pn fr. 14968, fol. 162 v",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'7B7,,,,a bo{n}ne amour sui donnee mon viuant pour miex valoir,A bo{n}ne amour sui donnee mon viuant pour miex valoir
2,1,,A boine dame loiaus sui donnés.,1,N 48,2,v. 6748,,,Renart,Hersent la louve,Entrée à Passe-Orgueil (fête finale),Discours amoureux,Dire en chantant ; Écouter,Entendre,1,vdB 2V,"F-Pn fr. 25566, fol. 166 ra",A boine dame loiaus sui do{n}nés.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A10,A,,,,
2,2,,A boine dame loiaus sui donnés.,1,N 48,3,v. 6748,,,Renart,Hersent la louve,Entrée à Passe-Orgueil (fête finale),Discours amoureux,Dire en chantant ; Écouter,Entendre,2,vdB 2F,"F-Pn fr. 1593, fol. 49 (50) rb",A bone dame loiaus sui donnez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A10,A,,,,
3,1,,A celi que je n'os nommer.,1,N 22,1,v. 244,,,La dame,,Description de ses tourments amoureux,Commentaire,,,1,vdB 3,"F-Pn fr. 146, fol. 61 ra",A celi que ie n'os nommer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A8,A,,,,
4,1,,"Acolez moi et baisiez doucement, car li maus d'amer mi tient joliement.",1,N 9,1,v. 165,,,La châtelaine,Son ami,Conclusion de la st. XIX (arrivée de l'ami de la châtelaine),Discours amoureux,Chanter,,1,,"F-Pn fr. 837, fol. 115 rb",acolez moi {et} besiez doucement q{ua}r li maus d'amer me tient jolieme{n}t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A10A11,,,,,
4,2,,"Acolez moi et baisiez doucement, car li maus d'amer mi tient joliement.",2,M 1139b,1,,Enté,N 38,Meliacin,Celinde,Voyage à Savernon,Discours amoureux,Chanter ; Redire,Chanter,1,,"F-Pn fr. 1633, fol. 39 rb",<A>colés moi et besiés doucement car li maus d'amer me Tient ioliement.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A10A11,,,,,
4,3,,"Acolez moi et baisiez doucement, car li maus d'amer mi tient joliement.",2,M 1139b,2,,Enté,N 38,Meliacin,Celinde,Voyage à Savernon,Discours amoureux,Chanter ; Redire,Chanter,2,,"F-Pn fr. 1589, fol. 39 va",<A>colés moi et baisiés doucement Car li maus d'amer me tient joliement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A10A11,,,,,
4,4,,"Acolez moi et baisiez doucement, car li maus d'amer mi tient joliement.",2,M 1139b,3,,Enté,N 38,Meliacin,Celinde,Voyage à Savernon,Discours amoureux,Chanter ; Redire,Chanter,3,,"I-Fr 2757, fol. 40 vb",<A>colez moi et beisiez doucement. car li maus d'amer me tient joliement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A10A11,,,,,
4,5,,"Acolez moi et baisiez doucement, car li maus d'amer mi tient joliement.",2,M 1139b,4,,Enté,N 38,Meliacin,Celinde,Voyage à Savernon,Discours amoureux,Chanter ; Redire,Chanter,4,,"F-Pn fr. 1455, fol. 33 va",<A>colez moi {et} baisiez doucem{en}t Q{ua}r li maus d'am{er} mi tie{n}t ioliem{en}t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A10A11,,,,,
4,6,,"Acolez moi et baisiez doucement, car li maus d'amer mi tient joliement.",2,M 1139b,5,,Enté,N 38,Meliacin,Celinde,Voyage à Savernon,Discours amoureux,Chanter ; Redire,Chanter,5,,"B-Br IV 319, fol. 34 vb",<A>Colés moi {et} besiés doucem{en}t Car li Maus d'amer me tie{n}t iolietem{en}t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A10A12,,,,,
