Ref Number,NOTE FROM ANNE,NOTE FROM ADAM,Linker Number,Abstract Master Text,Occurance Number,Occurance Type,Parent Work,Parent Index Blob,Parent Date,Parent vdB Index (rondeaux),Parent RS Index,Parent L Index,Parent T Index (songs),Parent T Index (motets),Parent MW Index,Parent Lu Index,Refrain Location,Parent Generic Descriptor,Parent Work Author,Host Work,Host Work Date,Host Work Generic Descriptor,Host Work Author,Singer,Destinataire,Circonstances,Fonction,Marque de chant précédant le refrain,Marque de chant suivant le refrain,Marque de discours,Manuscript Number,Image File,Manuscript Collocation,Reading,Derived Reading Text,Derived Reading Text (Refrain 1 [sur l'incipit français]),Derived Reading Text (Refrain 1),Derived Reading Text (Refrain 2),Derived Reading Text (Refrain 3),Derived Reading Text (Refrain 4),Derived Reading Text (Refrain 5),Derived Reading Text (Refrain 6),Derived Reading Text (Refrain triplum),Derived Reading Text (Refrain motetus),Derived Reading Text (Refrain teneur),Derived Reading Text (Initial),Derived Reading Text (Final),Derived Reading Text (st. 1; refrain interne),Derived Reading Text (st. 1; refrain interne 2),Derived Reading Text (st. 1; refrain final),Derived Reading Text (st. 2; refrain interne),Derived Reading Text (st. 2; refrain interne 2),Derived Reading Text (st. 2; refrain final),Derived Reading Text (st. 3; refrain interne),Derived Reading Text (st. 3; refrain interne 2),Derived Reading Text (st. 3; refrain final),Derived Reading Text (st. 4; refrain interne),Derived Reading Text (st. 4; refrain interne 2),Derived Reading Text (st. 4; refrain final),Derived Reading Text (st. 5; refrain interne),Derived Reading Text (st. 5; refrain interne 2),Derived Reading Text (st. 5; refrain final),Derived Reading Text (st. 6; refrain interne),Derived Reading Text (st. 6; refrain interne 2),Derived Reading Text (st. 6; refrain final),Derived Reading Text (st. 7; refrain interne),Derived Reading Text (st. 7; refrain interne 2),Derived Reading Text (st. 7; refrain final),Derived Reading Text (st. 8; refrain interne),Derived Reading Text (st. 8; refrain interne 2),Derived Reading Text (st. 8; refrain final),Derived Reading Text (st. 9; refrain interne),Derived Reading Text (st. 9; refrain interne 2),Derived Reading Text (st. 9; refrain final),Derived Reading Text (st. 10; refrain final),Derived Reading Text (st. 11; refrain final),Derived Reading Text (st. 12; refrain final),Derived Reading Text (st. 13; refrain final),Derived Reading Text (st. 14; refrain final),Derived Reading Text (st. 15; refrain final),Derived Reading Text (st. 16; refrain final),Derived Reading Text (st. 17; refrain final),Derived Reading Text (st. 18; refrain final),Derived Reading Text (st. 19; refrain final),Derived Reading Text (st. 20; refrain final),Derived Reading Text (st. 21; refrain final),Derived Reading Text (st. 22; refrain final),Derived Reading Text (st. 23; refrain final),Derived Reading Text (st. 24; refrain final),Derived Reading Text (st. 25; refrain final),Derived Reading Text (Envoi 1; refrain final),Derived Reading Text (Envoi 2; refrain final),Métrique,Other Manuscript Data,,,,,,,,,,,,
1,,,,A bonne amour sui donnee mon vivant pour miex valoir.,1,littéraire,Fatras I   v. 40-41 puis 42 (v. a) et 52 (v. b),Ca 1319-1322 ou 1328-1329   ,Ca 1319-1322 ou 1328-1329,,,,,,,,,Fatras,Watriquet de Couvin,,,,,Watriquet,,,,,,,1,,"F-Pn fr. 14968, fol. 162 v",A]a v. 40; bonne]bonne; mon vivant]mon viuant,,,a bonne amour sui donnee mon viuant pour miex valoir,A bonne amour sui donnee mon viuant pour miex valoir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'7B7,,,,,,,,,,,,,
2,,,,A boine dame loiaus sui donnés.,1,littéraire,Renart le Nouvel   v. 6748,Ca 1289   ,Ca 1289,,,,,,,,,Roman,Jaquemart Gielée,,,,,Renart,Hersent la louve,Entrée à Passe-Orgueil (fête finale),Discours amoureux,Dire en chantant; écouter,Entendre,,1,1_files/image002.png,"F-Pn fr. 25566, fol. 166 ra (V)",USERPROPERTY\* MERGEFORMAT,A boine dame loiaus sui donnés.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A10,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dire en chantant; écouter,Entendre,,2,1_files/image004.png,"F-Pn fr. 1593, fol. 49 (50) rb (F)",USERPROPERTY\* MERGEFORMAT,A bone dame loiaus sui donnez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A10,,,,,,,,,,,,,
3,,,,A celi que je n'os nommer.,1,littéraire,Dit enté « Gracieuse   faitisse et sage... » v. 244,"L: 162-31   MW: 477, 3   Début xive   ",Début xive,,,162-31,,,"477, 3",,,Dit enté,Jeannot de Lescurel,,,,,la dame,,Descrption de ses tourments amoureux,Commentaire,,,,1,1_files/image006.png,"F-Pn fr. 146, fol. 61 ra",,A celi que ie n'os nommer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A8,,,,,,,,,,,,,
4,,,,"Acolez moi et baisiez doucement, car li maus d'amer mi tient joliement.",1,littéraire,Saint Gille   v. 165-166,1250-1280   ,1250-1280   ,,,,,,,,,Poème narratif strophique,?,,,,,la châtelaine,Son ami,Conclusion st. 19: arrivée de l'ami de la châtelaine,Discours amoureux,Chanter,,,1,,"F-Pn fr. 837, fol. 115 rb",Acolez]acolez; et]et; baisiez]besiez; car]quar; mi]me; joliement]joliement,acolez moi et besiez doucement quar li maus d'amer me tient joliement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A10A11,,,,,,,,,,,,,
,,,,,2,littéraire,Acolés moi et baisiés doucement,"Lu: 1139b   T: 373   L: 265-7   MW: 1372, 1   ",,,,265-7,,373,"1372, 1",1139b,Enté,Motet enté,Girart d'Amiens?,Meliacin v. 4392-4401,Ca 1285-1288,Roman,Girart d'Amiens,Meliacin à Celinde,Celinde,Voyage à Savernon,Discours amoureux,Chanter,Chanter,Redire,1,,"F-Pn fr. 1633, fol. 39 vb (A)",Acolez]Acolés; baisiez]besiés; mi]me; tient]tient; joliement]ioliement.,Acolés moi et besiés doucement car li maus d'amer me Tient ioliement.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A10A11,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chanter,Chanter,Redire,2,,"F-Pn fr. 1589, fol. 39 va (B)",Acolez]Acolés; baisiez]baisiés; car]car; mi]me,Acolés moi et baisiés doucement Car li maus d'amer me tient joliement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A10A11,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chanter,Chanter,Redire,3,,"I-Fr 2757, fol. 40 vb (C)",baisiez]beisiez; doucement]doucement.; mi]me,Acolez moi et beisiez doucement. car li maus d'amer me tient joliement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A10A11,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chanter,Chanter,Redire,4,,"F-Pn fr. 1455, fol. 33 va (D)",et]et; doucement]doucement; car]quar; d'amer]d'amer; tient]tient; joliement]ioliement,"Acolez moi et baisiez doucement, Quar li maus d'amer mi tient ioliement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A10A11,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chanter,Chanter,Redire,5,,"B-Br IV 319, fol. 34 vb (E)",Acolez]Acolés; et]et; baisiez]besiés; doucement]doucement; car]car; maus]maus; mi tient]metient; joliement]iolietement,AColés moi et besiés doucement Car li Maus d'amer metient iolietement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A10A12,,,,,,,,,,,,,
